product,category,date,predicted_sales,lower_bound,upper_bound,type,MAE,Error_%
Affogato,Cold Coffee Drinks,10/16/2022,0.067000897,0,6.875588099,category_distribution,2.472502366,49.67584662
Affogato,Cold Coffee Drinks,10/17/2022,0.062500671,0,6.767278444,category_distribution,2.472502366,49.67584662
Affogato,Cold Coffee Drinks,10/18/2022,0.068017952,0,6.942645183,category_distribution,2.472502366,49.67584662
Affogato,Cold Coffee Drinks,10/19/2022,0.061412101,0,6.717550214,category_distribution,2.472502366,49.67584662
Affogato,Cold Coffee Drinks,10/20/2022,0.086964741,0.032169946,7.898298154,category_distribution,2.472502366,49.67584662
Affogato,Cold Coffee Drinks,10/21/2022,0.10460995,1.162077724,8.960546305,category_distribution,2.472502366,49.67584662
Affogato,Cold Coffee Drinks,10/22/2022,0.092306937,0.222317974,8.013304487,category_distribution,2.472502366,49.67584662
Americano,Espresso Drinks,10/16/2022,0.772088748,0,3.581840085,high_item_model,2.451270897,72.69286108
Americano,Espresso Drinks,10/17/2022,1.04041939,0,3.743025476,high_item_model,2.451270897,72.69286108
Americano,Espresso Drinks,10/18/2022,1.381920745,0,4.32580953,high_item_model,2.451270897,72.69286108
Americano,Espresso Drinks,10/19/2022,1.381958793,0,4.294512118,high_item_model,2.451270897,72.69286108
Americano,Espresso Drinks,10/20/2022,1.430779144,0,4.235432038,high_item_model,2.451270897,72.69286108
Americano,Espresso Drinks,10/21/2022,2.38204786,0,5.157501976,high_item_model,2.451270897,72.69286108
Americano,Espresso Drinks,10/22/2022,1.27504715,0,4.041261865,high_item_model,2.451270897,72.69286108
Apple Muffin,Bakery,10/16/2022,0.112237082,0,8.606133769,category_distribution,6.736333354,66.35360477
Apple Muffin,Bakery,10/17/2022,0.129686375,0,9.035584777,category_distribution,6.736333354,66.35360477
Apple Muffin,Bakery,10/18/2022,0.12977547,0,9.271938936,category_distribution,6.736333354,66.35360477
Apple Muffin,Bakery,10/19/2022,0.126390662,0,8.99773003,category_distribution,6.736333354,66.35360477
Apple Muffin,Bakery,10/20/2022,0.179424938,0,10.69881842,category_distribution,6.736333354,66.35360477
Apple Muffin,Bakery,10/21/2022,0.143054095,0,9.701790889,category_distribution,6.736333354,66.35360477
Apple Muffin,Bakery,10/22/2022,0.156785337,0,9.898608959,category_distribution,6.736333354,66.35360477
Asfahani,Cold Drinks,10/16/2022,0.701006224,0,14.64728763,category_distribution,3.943324011,40.39931058
Asfahani,Cold Drinks,10/17/2022,0.611339916,0,14.00312011,category_distribution,3.943324011,40.39931058
Asfahani,Cold Drinks,10/18/2022,0.66269896,0,15.34468989,category_distribution,3.943324011,40.39931058
Asfahani,Cold Drinks,10/19/2022,0.787928414,0.875830125,16.37051785,category_distribution,3.943324011,40.39931058
Asfahani,Cold Drinks,10/20/2022,0.899726891,1.834870455,17.49880893,category_distribution,3.943324011,40.39931058
Asfahani,Cold Drinks,10/21/2022,0.928704002,2.568058488,18.28563963,category_distribution,3.943324011,40.39931058
Asfahani,Cold Drinks,10/22/2022,0.822533599,0.905776109,16.58538418,category_distribution,3.943324011,40.39931058
Baby chino,Hot Drinks,10/16/2022,0.094853164,0,15.87014043,category_distribution,19.77386391,78.14413574
Baby chino,Hot Drinks,10/17/2022,0.073128799,0,13.97345421,category_distribution,19.77386391,78.14413574
Baby chino,Hot Drinks,10/18/2022,0.116121559,0,16.72883397,category_distribution,19.77386391,78.14413574
Baby chino,Hot Drinks,10/19/2022,0.086550567,0,15.55970319,category_distribution,19.77386391,78.14413574
Baby chino,Hot Drinks,10/20/2022,0.130760812,0,17.40504979,category_distribution,19.77386391,78.14413574
Baby chino,Hot Drinks,10/21/2022,0.164246739,0,20.41687122,category_distribution,19.77386391,78.14413574
Baby chino,Hot Drinks,10/22/2022,0.153396517,0,18.62664929,category_distribution,19.77386391,78.14413574
Banana Split Waffle,Hot Sweets,10/16/2022,0.023604416,0,14.14978436,category_distribution,10.69046787,65.83152902
Banana Split Waffle,Hot Sweets,10/17/2022,0.01574936,0,11.81706701,category_distribution,10.69046787,65.83152902
Banana Split Waffle,Hot Sweets,10/18/2022,0.024216036,0,13.6568393,category_distribution,10.69046787,65.83152902
Banana Split Waffle,Hot Sweets,10/19/2022,0.023061859,0,13.69568737,category_distribution,10.69046787,65.83152902
Banana Split Waffle,Hot Sweets,10/20/2022,0.025474771,0,14.15172253,category_distribution,10.69046787,65.83152902
Banana Split Waffle,Hot Sweets,10/21/2022,0.051883464,3.622723522,19.63897195,category_distribution,10.69046787,65.83152902
Banana Split Waffle,Hot Sweets,10/22/2022,0.027582457,0,15.10234563,category_distribution,10.69046787,65.83152902
Black Tea - 1 Liter pot,Hot Drinks,10/16/2022,0.001156746,0,15.87014043,category_distribution,19.77386391,78.14413574
Black Tea - 1 Liter pot,Hot Drinks,10/17/2022,0.000891815,0,13.97345421,category_distribution,19.77386391,78.14413574
Black Tea - 1 Liter pot,Hot Drinks,10/18/2022,0.001416117,0,16.72883397,category_distribution,19.77386391,78.14413574
Black Tea - 1 Liter pot,Hot Drinks,10/19/2022,0.001055495,0,15.55970319,category_distribution,19.77386391,78.14413574
Black Tea - 1 Liter pot,Hot Drinks,10/20/2022,0.001594644,0,17.40504979,category_distribution,19.77386391,78.14413574
